disk_reference,duration,start,channel,title,description,scrid,pcrid
5087840593774658030,1800,2007-07-16 19:00:00 +0100,BBC Four,World News Today,"The latest national and international news, exploring the day's events from a global perspective. Followed by a weather update.",crid://fp.bbc.co.uk/KCI927,""
5087848323885580985,1800,2007-07-16 19:30:00 +0100,BBC One,Building Britain,"With London's skyline going through its greatest change in 400 years, writer and broadcaster Peter Ackroyd takes a personal look at how power and wealth are shaping the capital city. [S]",crid://fp.bbc.co.uk/KCJB2O,crid://fp.bbc.co.uk/NXT8L
5087848323889775484,1800,2007-07-16 19:30:00 +0100,BBC Two,Mastermind,"The second heat of Britain's toughest quiz. John Humphrys puts the questions to four more contenders. Subjects include French Political History, Holst, Harrison Ford and Jackie Kennedy Onassis. [S]",crid://fp.bbc.co.uk/KCI7T5,crid://fp.bbc.co.uk/5A57DM
5087848324715790823,7800,2007-07-16 19:30:00 +0100,BBC Four,Proms on FOUR,"Rossini and Berio: The Orchestra of Santa Cecilia, Rome, and an international quartet of singers perform Rossini's Stabat Mater and are joined by the Swingle Sisters for Berio's Sinfonia. [S]",crid://fp.bbc.co.uk/KCI84M,crid://fp.bbc.co.uk/4HI3PW
5087852189368402748,2700,2007-07-16 19:45:00 +0100,BBC Three,Doctor Who Confidential,3/13. Are We There Yet? Behind-the-scenes look at Doctor Who. A report from the green screen studios to witness how some of this series' most complicated action sequences were shot. [S],crid://fp.bbc.co.uk/KCJ6WQ,crid://fp.bbc.co.uk/1RH8YN
5087856054826713783,1800,2007-07-16 20:00:00 +0100,BBC One,EastEnders,"Ben finally tells Abi what Stella is doing to him. Gus returns to the news that Wellard is missing. A new arrival on the Square causes problems for Denise. [AD,S]",crid://fp.bbc.co.uk/KCI195,crid://fp.bbc.co.uk/4D2KEU
5087856054830908251,1800,2007-07-16 20:00:00 +0100,BBC Two,University Challenge,"In the second match in round one, the students of the School of Oriental and African Studies, London take on the team representing Magdalen College Oxford. Jeremy Paxman asks the questions. [S]",crid://fp.bbc.co.uk/KCI19S,crid://fp.bbc.co.uk/35VAO5
5087856054843162891,3600,2007-07-16 20:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087863785767846558,1800,2007-07-16 20:30:00 +0100,BBC One,Panorama,"What Happened Next? An update on previous investigations, including recent developments and what happens after the cameras go away. [S]",crid://fp.bbc.co.uk/KCI4KP,crid://fp.bbc.co.uk/73DNI
5087863785772041039,1800,2007-07-16 20:30:00 +0100,BBC Two,Indian Food Made Easy,Food writer and chef Anjum Anand persuades his friend to attempt cooking a healthy Indian spread for his friends who are coming over to watch the FA Cup Final. [S],crid://fp.bbc.co.uk/KCJANO,crid://fp.bbc.co.uk/53TYNX
5087863785780101949,1800,2007-07-16 20:30:00 +0100,BBC Three,Conning the Conmen,1/6. Undercover reporters turn the tables on rogues and conmen. They try to lure a macho plumber into a camp dance and make some drug dealers supply a kid's birthday party. [S] Then 60 Seconds.,crid://fp.bbc.co.uk/KCJ5UC,crid://fp.bbc.co.uk/2FCYZM
5087871516708979393,3600,2007-07-16 21:00:00 +0100,BBC One,Fight For Life,"Child: A look at how our bodies can battle to keep us alive. Before a child has had time to fully develop, they are particularly at risk from deadly diseases as well as accidents. [AD,S]",crid://fp.bbc.co.uk/KCJAPW,crid://fp.bbc.co.uk/4KU416
5087871516713173844,3600,2007-07-16 21:00:00 +0100,BBC Two,Peter and Dan Snow: 20th Century...,"...Battlefields. 1982 Falklands: A high-tech graphic mapcase is used to reconstruct the battle triggered by the Argentinian invasion of the Falkland Islands 25 years ago. [AD,S]",crid://fp.bbc.co.uk/KCIDSO,crid://fp.bbc.co.uk/4KU3GA
5087871516721234752,3600,2007-07-16 21:00:00 +0100,BBC Three,"Honey, We're Killing the Kids",2/8. Psychologist Kris Murrin meets nine-year-old Cameron who eats what he wants and watches TV for over 35 hours a week. Strong language. [S] Then 60 Seconds,crid://fp.bbc.co.uk/KCJALG,crid://fp.bbc.co.uk/4RHDM4
5087871516725428484,3600,2007-07-16 21:00:00 +0100,BBC News 24,BBC News,Twenty four hours a day: the latest national and international stories as they break. Including Entertainment 24 with the latest showbiz news.,"",""
5087881825460699628,600,2007-07-16 21:40:00 +0100,BBC Four,Sounds of the Seventies,"More classic 70s hits from the BBC's archive. Includes Labelle's Lady Marmalade, Chic with Le Freak and Love Don't Live Here Any More from Rose Royce. [S]",crid://fp.bbc.co.uk/KCIHM4,crid://fp.bbc.co.uk/WEUX9
5087884402441078569,600,2007-07-16 21:50:00 +0100,BBC Four,Sounds of the Seventies,"More classic 70s hits from the BBC's archive. With hits from Gladys Knight, Bill Withers and Aretha Franklin. [S]",crid://fp.bbc.co.uk/KCIHM4,crid://fp.bbc.co.uk/WEUXB
5087886978591245003,1500,2007-07-16 22:00:00 +0100,BBC One,BBC Ten O'Clock News,"National and international news, with reports from BBC correspondents worldwide. [S]",crid://fp.bbc.co.uk/KCI4LO,""
5087886978595439446,1800,2007-07-16 22:00:00 +0100,BBC Two,Have I Got News For You?,"The popular news quiz continues, with team captains Paul Merton and Ian Hislop, guest host Jeremy Clarkson and panellists Julia Hartley-Brewer and Mark Steel. [S]",crid://fp.bbc.co.uk/KCJ37C,crid://fp.bbc.co.uk/35V93N
5087886978603500355,1800,2007-07-16 22:00:00 +0100,BBC Three,EastEnders,"Ben finally tells Abi what Stella is doing to him. Gus returns to the news that Wellard is missing. A new arrival on the Square causes problems for Denise. [AD,S]",crid://fp.bbc.co.uk/KCI196,crid://fp.bbc.co.uk/4D2KEU
5087886978607694062,3600,2007-07-16 22:00:00 +0100,BBC News 24,BBC Ten O'Clock News Hour,"The BBC's Ten O'Clock News Hour, including Sportsday at 10.30pm, plus all the day's business and the first review of tomorrow morning's newspapers. [S]",crid://fp.bbc.co.uk/KCIOF4,""
5087886979421454826,3600,2007-07-16 22:00:00 +0100,BBC Four,Life on Mars,"4/8. Another chance to see the first series. Sam takes on local gangster Stephen Warren and comes face to face with his own mother. Language may offend. [AD,S]",crid://fp.bbc.co.uk/KCJA1J,crid://fp.bbc.co.uk/54BVCA
5087893421042188974,600,2007-07-16 22:25:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. Followed by the national headlines and Weather. [S],crid://fp.bbc.co.uk/KCI7ZG,""
5087894709536572272,3000,2007-07-16 22:30:00 +0100,BBC Two,Newsnight,A look at the continuing row with Russia over the Alexander Litvinenko case and Boris Johnson's bid for the job of Mayor of London. Plus are you recycling your household rubbish? [S] Then Weather.,crid://fp.bbc.co.uk/KCI4LK,""
5087894709544633150,1800,2007-07-16 22:30:00 +0100,BBC Three,"Touch Me, I'm Karen Taylor",6/6. Sketch series taking a saucy look at modern life. Miss Harper feels the firm arm of the law thanks to her over-keen interest in schoolboys. Some strong language. [S] Then 60 Seconds.,crid://fp.bbc.co.uk/KCJ9IK,crid://fp.bbc.co.uk/35VAH9
5087895998022566586,1800,2007-07-16 22:35:00 +0100,BBC One,Family Wanted,"The Family Wanted campaign aims to encourage people to think about whether they can adopt or foster children. As part of that campaign, this series explores the issues involved. [S]",crid://fp.bbc.co.uk/KCJB2P,crid://fp.bbc.co.uk/53TYF6
5087902440485765956,1800,2007-07-16 23:00:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 9/10. Closing Time: Janet tries desperately to find a way of keeping the pub open. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIX8C,crid://fp.bbc.co.uk/1RSHWT
5087902440489959690,1800,2007-07-16 23:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087902441303720425,1800,2007-07-16 23:00:00 +0100,BBC Four,The Cult of ... Blake's 7,"A behind the scenes look at one of British TV's biggest cult hits. Includes contributions from Gareth Thomas, Paul Darrow, Sally Knyvette, Michael Keating and Jacqueline Pearce. [S]",crid://fp.bbc.co.uk/KCJ0X4,crid://fp.bbc.co.uk/56LIL4
5087903728963699382,3000,2007-07-16 23:05:00 +0100,BBC One,The Tower,"With the show flats in the Tower selling fast, two prospective purchasers are excited by the dream of modern living. Very strong language. [AD,S]",crid://fp.bbc.co.uk/KCJA20,crid://fp.bbc.co.uk/2FCY13
5087907594438460278,300,2007-07-16 23:20:00 +0100,BBC Two,Family Wanted Appeal,The Family Wanted campaign aims to encourage people to think about whether they can adopt or foster children. [S],crid://fp.bbc.co.uk/KCJB2Q,crid://fp.bbc.co.uk/53TYOX
5087908882928649083,1800,2007-07-16 23:25:00 +0100,BBC Two,Balderdash & Piffle,Fashionistas: Victoria Coren looks at words for what's in and what's not. And Marcus Brigstocke investigates why the French have such a hold on our fashion dictionary. Strong language. [S],crid://fp.bbc.co.uk/KCJ8OK,crid://fp.bbc.co.uk/35W45I
5087910171426898757,1800,2007-07-16 23:30:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 10/10. When Janet Killed Jonny: The gang break into The Archer for a last night before it's demolished. Contains some strong language. [AD,S] Followed by 60 Seconds.",crid://fp.bbc.co.uk/KCIX8C,crid://fp.bbc.co.uk/1RSHWU
5087910171431092479,1800,2007-07-16 23:30:00 +0100,BBC News 24,HARDtalk,"Stephen Sackur talks to Hunain Al-Qaddo, Chair of the Iraqi Minorities Council. [S]",crid://fp.bbc.co.uk/KCJ88H,""
5087910172244853219,1800,2007-07-16 23:30:00 +0100,BBC Four,Masterpieces of the East,"4/6. The Golden Throne: A look at the octagonal ceremonial throne made of pure gold made for the Maharaja Ranjit Singh of the Punjab, created by Indian craftsmen in the 19th century. [S]",crid://fp.bbc.co.uk/KCJ9RI,crid://fp.bbc.co.uk/54BXJD
5087916613865587389,4800,2007-07-16 23:55:00 +0100,BBC One,Haunted Honeymoon,"Spooky comedy in which a radio star and his fiancee visit his psychiatrist uncle, unaware that he has planned a weekend of terror for them. Starring Gene Wilder. [1986] [S]","",crid://fp.bbc.co.uk/4J4565
5087916613869781854,1500,2007-07-16 23:55:00 +0100,BBC Two,Talking Movies,Tom Brook talks to Natasha Richardson about her role in the new film Evening. Maggie Gyllenhaal talks about her new film Sherrybaby plus a report on the New York based psychological drama Joshua. [S],crid://fp.bbc.co.uk/KCI6I3,crid://fp.bbc.co.uk/74F4Z
5087917902368031560,1800,2007-07-17 00:00:00 +0100,BBC Three,Neighbours Revealed,1/5. Everybody Needs Good Neighbours: The story of Australia's most famous soap told from the very beginning - how the series came to the UK and why it has become such a global hit. [S],crid://fp.bbc.co.uk/KCJB3S,""
5087917902372225299,1800,2007-07-17 00:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087917903185986018,1800,2007-07-17 00:00:00 +0100,BBC Four,Office Tigers: Storyville,"3/4. A behind the scenes look at the employees at the American-owned Office Tiger Company based in Chennai, India, where the American bosses impart the rules of corporate culture to the team. [S]","",crid://fp.bbc.co.uk/35W3RJ
5087923056320725880,4500,2007-07-17 00:20:00 +0100,BBC Two,Kingdom Hospital,"Thy Kingdom Come: Artist Peter Rickman is run down by a stoned loser driving a minivan and admitted comatose to the hospital. Mrs Druse tries to persuade Dr Hook to join her quest. [AD,S]",crid://fp.bbc.co.uk/KCICMJ,crid://fp.bbc.co.uk/4J5DHL
5087925633309164351,1800,2007-07-17 00:30:00 +0100,BBC Three,Conning the Conmen,1/6. Undercover reporters try to lure a macho plumber into a camp dance routine and make some drug dealers supply a kid's birthday party. With some strong language. [S],crid://fp.bbc.co.uk/KCJ688,crid://fp.bbc.co.uk/2FCYZM
5087925633313358108,1800,2007-07-17 00:30:00 +0100,BBC News 24,Panorama,"The BBC's flagship current affairs programme, with the best in reporting from Britain and around the world.",crid://fp.bbc.co.uk/KCJ6G0,""
5087925634127118817,1800,2007-07-17 00:30:00 +0100,BBC Four,Indian School,"8/10. East Meet West: Exposure to western music in Pune is changing teenage tastes. At Kalmadi High school the music and dance competition contains a category mixing eastern and western styles. [AD,S]","",crid://fp.bbc.co.uk/3QSBZQ
5087933364250297153,1500,2007-07-17 01:00:00 +0100,BBC Three,"Touch Me, I'm Karen Taylor",6/6. Miss Harper feels the firm arm of the law thanks to her over-keen interest in schoolboys. Some strong language. [S],crid://fp.bbc.co.uk/KCJ9IL,crid://fp.bbc.co.uk/35VAH9
5087933364254490923,1800,2007-07-17 01:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087933365068251624,7500,2007-07-17 01:00:00 +0100,BBC Four,Proms on FOUR,"Rossini and Berio: The Chorus and Orchestra of Santa Cecilia, Rome, and an international quartet of singers perform Rossini's Stabat Mater and are joined by the Swingle Sisters for Berio's Sinfonia.",crid://fp.bbc.co.uk/KCIDNQ,crid://fp.bbc.co.uk/4HI3PW
5087937229708608159,300,2007-07-17 01:15:00 +0100,BBC One,Weather View,Detailed weather forecast.,crid://fp.bbc.co.uk/KCI7YZ,""
5087938518198796960,3600,2007-07-17 01:20:00 +0100,BBC One,Panorama,"Tagging Undercover - A Panorama Special: With the UK prison system full to capacity, more and more offenders are being tagged as an alternative to custody. Paul Kenyon investigates. [S,SL]",crid://fp.bbc.co.uk/KCI7YU,crid://fp.bbc.co.uk/73DN5
5087939806701241158,1800,2007-07-17 01:25:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 9/10. Closing Time: Janet tries desperately to find a way of keeping the pub open. Adult humour. [AD,S]",crid://fp.bbc.co.uk/KCIX8D,crid://fp.bbc.co.uk/1RSHWT
5087941095195623706,1800,2007-07-17 01:30:00 +0100,BBC News 24,World News Tonight,"The latest news from America, as reported by the ABC television network's flagship evening news programme.","",""
5087942383673557848,9300,2007-07-17 01:35:00 +0100,BBC Two,BBC News 24,"BBC TWO joins the BBC's rolling news channel, with bulletins on the hour and the headlines every 15 minutes.",crid://fp.bbc.co.uk/KCI10Q,""
5087947537642373959,1800,2007-07-17 01:55:00 +0100,BBC Three,Two Pints of Lager and...,"...a Packet of Crisps. 10/10. When Janet Killed Jonny: The gang break into The Archer for a last night before it's demolished. Contains some strong language. [AD,S]",crid://fp.bbc.co.uk/KCIX8D,crid://fp.bbc.co.uk/1RSHWU
5087948826136756498,1800,2007-07-17 02:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087953980081062580,3000,2007-07-17 02:20:00 +0100,BBC One,The Tower,"The last tenant has been removed from the ex council tower block, and the developers can now start the renovation. Strong language. [AD,S,SL]",crid://fp.bbc.co.uk/KCJAQG,crid://fp.bbc.co.uk/2FCY11
5087955268583506754,3300,2007-07-17 02:25:00 +0100,BBC Three,"Honey, We're Killing the Kids",2/8. Psychologist Kris Murrin meets nine-year-old Cameron who eats what he wants and watches TV for over 35 hours a week. Strong language. [S],crid://fp.bbc.co.uk/KCJALH,crid://fp.bbc.co.uk/4RHDM4
5087956557077889325,1800,2007-07-17 02:30:00 +0100,BBC News 24,The Record,Highlights of the day in Parliament.,"",""
5087964288019022113,1800,2007-07-17 03:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087965577322974898,300,2007-07-17 03:05:00 +0100,BBC Four,Sounds of the Seventies,More classic 1970s hits from the BBC's archive.,crid://fp.bbc.co.uk/KCIHM4,crid://fp.bbc.co.uk/WEVB6
5087966864982950562,3600,2007-07-17 03:10:00 +0100,BBC One,How We Built Britain,"5/6. The North - Full Steam Ahead: David Dimbleby journeys north to the powerhouse of Queen Victoria's Britain, where passion for progress brought wealth to some and misery to others. [AD,S,SL]",crid://fp.bbc.co.uk/KCJ9NN,crid://fp.bbc.co.uk/4AYHYU
5087966865813160422,1800,2007-07-17 03:10:00 +0100,BBC Four,Masterpieces of the East,"4/6. The Golden Throne: A look at the octagonal ceremonial throne made of pure gold made for the Maharaja Ranjit Singh of the Punjab, created by Indian craftsmen in the 19th century. [S]","",crid://fp.bbc.co.uk/54BXJD
5087969441975584062,3300,2007-07-17 03:20:00 +0100,BBC Three,Make Me a Baby,"4/4. Series which follows 100 couples from conception to childbirth. As 62 couples prepare to give birth, catch up with the ones who have not conceived. Graphic medical scenes. [S,SL]",crid://fp.bbc.co.uk/KCJ9SL,crid://fp.bbc.co.uk/56URHI
5087972018960154917,1800,2007-07-17 03:30:00 +0100,BBC News 24,Panorama,"The BBC's flagship current affairs programme, with the best in reporting from Britain and around the world.","",""
5087974596754293229,1800,2007-07-17 03:40:00 +0100,BBC Four,Indian School,"8/10. East Meet West: Exposure to western music in Pune is changing teenage tastes. At Kalmadi High school the music and dance competition contains a category mixing eastern and western styles. [AD,S]","",crid://fp.bbc.co.uk/3QSBZQ
5087979749901287705,1800,2007-07-17 04:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5087982326865216163,6600,2007-07-17 04:10:00 +0100,BBC One,BBC News 24,"BBC ONE joins the BBC's rolling news channel for a night of news, with bulletins on the hour and the headlines every 15 minutes. [S]",crid://fp.bbc.co.uk/KCI7YY,""
5087987480842420524,1800,2007-07-17 04:30:00 +0100,BBC News 24,HARDtalk,"Stephen Sackur talks to Nicholas Burns, the US Under Secretary of State for political affairs, about whether we are seeing the start of a new Cold War between Russia and the West?",crid://fp.bbc.co.uk/KCJ88G,""
5087995211783553295,1800,2007-07-17 05:00:00 +0100,BBC News 24,The World Today,The latest international news.,"",""
5088002942724686119,1800,2007-07-17 05:30:00 +0100,BBC News 24,World Business Report,"The latest business news from around the world with live reports from Singapore, Frankfurt and London and the news of what happened overnight in New York.","",""
5088010673649369869,11700,2007-07-17 06:00:00 +0100,BBC One,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team. Includes regional news at 25 and 55 minutes past each hour. [S]",crid://fp.bbc.co.uk/KCI7Z3,""
5088010673653564476,1200,2007-07-17 06:00:00 +0100,BBC Two,Fimbles,"CBeebies. Ticket: Florrie finds a ticket which she swaps for all sorts of different things, but Fimbo and Rockit manage to lose their tickets. Will they miss the bus? [S]",crid://fp.bbc.co.uk/KCI84I,crid://fp.bbc.co.uk/4CBNQ1
5088010673665818914,9000,2007-07-17 06:00:00 +0100,BBC News 24,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team.","",""
5088015827614319669,900,2007-07-17 06:20:00 +0100,BBC Two,Story Makers,"CBeebies. Being Frightened: Someone's got a bad case of the squeaks. [AD,S] Followed by Tweenies Songtime.",crid://fp.bbc.co.uk/KCI8JT,crid://fp.bbc.co.uk/4CBCGZ
5088019693084886080,1500,2007-07-17 06:35:00 +0100,BBC Two,Balamory,"CBeebies. Beach Ball: Miss Hoolie and the nursery kids deal with another problem in the Scottish seaside town. [AD,S]",crid://fp.bbc.co.uk/KCI84G,crid://fp.bbc.co.uk/56FNQP
5088026135535830097,900,2007-07-17 07:00:00 +0100,BBC Two,Arthur,"CBBC. DW, Bossy Boots: DW learns to be nicer to her friends. [S]",crid://fp.bbc.co.uk/KCI8FW,crid://fp.bbc.co.uk/SIHGP
5088030001006396488,2700,2007-07-17 07:15:00 +0100,BBC Two,Do Something Different,CBBC. Sam and Mark hit the road as they try and get UK children to 'Do Something Different'. [S],crid://fp.bbc.co.uk/KCJ6YW,crid://fp.bbc.co.uk/4CDMRD
5088041597418095682,1800,2007-07-17 08:00:00 +0100,BBC Two,The Sorcerer's Apprentice Extra,CBBC. Barney has his work cut out as David Penn gives him an escapology lesson and Mr Knight and Miss Evans have a food fight in the teacher challenge. [S],crid://fp.bbc.co.uk/KCJAPC,crid://fp.bbc.co.uk/4CDYB8
5088049328359228499,1800,2007-07-17 08:30:00 +0100,BBC Two,In the Night Garden,"CBeebies. The Pontipines set out on their very long walk, but look at that - everywhere they go their next door neighbours, the Wottingers, are there before them. [S] Followed by CBeebies Birthdays.",crid://fp.bbc.co.uk/KCJ6B0,crid://fp.bbc.co.uk/4CDJV2
5088049328371482912,1800,2007-07-17 08:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088057059300361292,900,2007-07-17 09:00:00 +0100,BBC Two,Mama Mirabelle's Home Movies,"CBeebies. What's In A Tail? Everybody loves their tails today - everyone, that is, except for Max, who doesn't think his tail is so special. [S]",crid://fp.bbc.co.uk/KCJ6AG,crid://fp.bbc.co.uk/4CDM3V
5088057059312615704,3600,2007-07-17 09:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088060924766733102,2700,2007-07-17 09:15:00 +0100,BBC One,To Buy or Not to Buy,Kristian Digby and Dominic Littlewood help former boxer Darren and partner Nikki to find a new family home in the Kent countryside. [S],crid://fp.bbc.co.uk/KCI7BC,crid://fp.bbc.co.uk/53TY6K
5088060924770927683,900,2007-07-17 09:15:00 +0100,BBC Two,Something Special,"CBeebies. Colours: Colours are everywhere, this programme shows you how to sign red, blue, yellow .... in fact all the colours of the rainbow. [S]",crid://fp.bbc.co.uk/KCIFRX,crid://fp.bbc.co.uk/4CBAGG
5088064790241494071,1200,2007-07-17 09:30:00 +0100,BBC Two,Big Cook Little Cook,"CBeebies. Duck: Ben has washed Small's pillow and it's gone all hard and lumpy and Small is not happy. [AD,S]",crid://fp.bbc.co.uk/KCICDM,crid://fp.bbc.co.uk/4CBNT8
5088069944202249277,600,2007-07-17 09:50:00 +0100,BBC Two,Underground Ernie,CBeebies. Catnapped: On her usual route Circle stops off at the nature reserve only to find out that Pippa's cat Patch disappeared during the thunderstorm. [S],crid://fp.bbc.co.uk/KCITCC,crid://fp.bbc.co.uk/SIHF8
5088072521178432265,3600,2007-07-17 10:00:00 +0100,BBC One,Animal Rescue Live,Selina Scott and Matt Baker are live at Battersea dogs and cats home on a mission to find perfect homes for hundreds of rescue animals. [S] Then BBC News and Weather.,crid://fp.bbc.co.uk/KCIV6G,crid://fp.bbc.co.uk/1RSZII
5088072521182626884,1800,2007-07-17 10:00:00 +0100,BBC Two,LazyTown,CBeebies. Trash Trouble: The Mayor wants to keep LazyTown clean and tidy. Robbie has other plans. [S],crid://fp.bbc.co.uk/KCIKCI,crid://fp.bbc.co.uk/SIGW1
5088072521194881310,3600,2007-07-17 10:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088080252123759681,5400,2007-07-17 10:30:00 +0100,BBC Two,The Return of Frank James,"After learning that Jesse, his brother, has been shot Frank James leaves his peaceful homestead in search of revenge. With Henry Fonda and Gene Tierney. [1940] [S]","",crid://fp.bbc.co.uk/4J3Y98
5088087983060697897,1800,2007-07-17 11:00:00 +0100,BBC One,Homes Under the Hammer,Lucy Alexander and Martin Roberts take a look at properties up for auction with potential. [S],crid://fp.bbc.co.uk/KCI9R6,crid://fp.bbc.co.uk/35W4HI
5088087983077146893,3600,2007-07-17 11:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088095714001830705,2700,2007-07-17 11:30:00 +0100,BBC One,Cash in the Attic,Brady Lavender calls in the team to help him raise 2000 to repair his dad's old Daimler so that he can drive his son around in it. [S] Then BBC News and Weather.,crid://fp.bbc.co.uk/KCI4I9,crid://fp.bbc.co.uk/35W44N
5088103444947158089,1800,2007-07-17 12:00:00 +0100,BBC Two,The Daily Politics,"Andrew Neil and Jenny Scott present the political stories of the day, including a look at why the gap between rich and poor has increased under Labour. [S]",crid://fp.bbc.co.uk/KCI58S,""
5088103444959412509,3600,2007-07-17 12:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088107310413530006,2700,2007-07-17 12:15:00 +0100,BBC One,Bargain Hunt,"It's a family affair, with daughter-and-parent teams tackling the Peterborough Festival of Antiques in the hunt for those elusive bargains. Presented by Tim Wonnacott. [S]",crid://fp.bbc.co.uk/KCI4M7,crid://fp.bbc.co.uk/5415VM
5088111175888290906,1800,2007-07-17 12:30:00 +0100,BBC Two,Working Lunch,"Business, consumer and workplace news from the award-winning team who tell it like it is. With Adam Shaw, Nik Wood and roving reporter Rob Pittam. [S]",crid://fp.bbc.co.uk/KCI4CU,""
5088118906825229115,1800,2007-07-17 13:00:00 +0100,BBC One,BBC News,"National and international news from the BBC, followed by Weather. [S]",crid://fp.bbc.co.uk/KCI4LM,""
5088118906829423709,1800,2007-07-17 13:00:00 +0100,BBC Two,Animal Park,"Kate Humble discovers what the marmosets make of the world's favourite pongs, while Ben Fogle reports on Longleat's mass incubator. [S]",crid://fp.bbc.co.uk/KCIBDN,crid://fp.bbc.co.uk/35W2UF
5088118906841678100,1800,2007-07-17 13:00:00 +0100,BBC News 24,BBC One O'Clock News,National and international news from the BBC.,"",""
5088126637766361871,600,2007-07-17 13:30:00 +0100,BBC One,BBC London News,The latest stories from the BBC London newsroom. [S],crid://fp.bbc.co.uk/KCI7Z4,""
5088126637770556511,1800,2007-07-17 13:30:00 +0100,BBC Two,Open Gardens,Littleham House and the Barn: Carol Klein visits a seaside garden - a spring paradise full of traditional colour and form and an old NGS garden now being restored in a contemporary style. [S],crid://fp.bbc.co.uk/KCIZA8,crid://fp.bbc.co.uk/35W2R8
5088126637782810897,1800,2007-07-17 13:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088129214746739508,1500,2007-07-17 13:40:00 +0100,BBC One,Neighbours,"Assault and Pepper: Mary finally gets Pepper right where she wants her, Elle hardens her heart in the face of Paul's desperation to reclaim his fortune and Carmella supports Elle. [AD,S]",crid://fp.bbc.co.uk/KCI280,crid://fp.bbc.co.uk/4J5CH8
5088134368711689272,3600,2007-07-17 14:00:00 +0100,BBC Two,Living in the Sun,"Nadia Sawalha visits one of the Costa Del Sol's best fish restaurants and she helps chef Mike and catering manager Donna try to sniff out their dream rural home for 70,000 or less. [S]",crid://fp.bbc.co.uk/KCIIJH,crid://fp.bbc.co.uk/35W0GS
5088134368723943718,3600,2007-07-17 14:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088135657197683506,1800,2007-07-17 14:05:00 +0100,BBC One,Doctors,Goat or Donkey? An important client has a strange question for Ronnie: goat or donkey? Daniel borrows cash from Joe but doesn't use it as he should. [S],crid://fp.bbc.co.uk/KCI3V1,crid://fp.bbc.co.uk/4D2K7P
5088143388138816264,2700,2007-07-17 14:35:00 +0100,BBC One,All Saints,"The Show Must Go On: Luke and the paramedics struggle to save lives in the tunnel, while the staff back on Ward 17 must cope with the confusion and crises arising from the accident. [S]",crid://fp.bbc.co.uk/KCJB24,crid://fp.bbc.co.uk/4J5EEQ
5088149830593954885,2700,2007-07-17 15:00:00 +0100,BBC Two,Escape to the Country,Melissa Porter is house hunting in Somerset with Mark and Kelly Milsom who want to start a kennel business. [S],crid://fp.bbc.co.uk/KCI4K8,crid://fp.bbc.co.uk/35W3U1
5088149830606209322,3600,2007-07-17 15:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5088154984550515470,300,2007-07-17 15:20:00 +0100,BBC One,BBC News,National and international news from the BBC. [S] Followed by regional news and weather.,crid://fp.bbc.co.uk/KCI7T8,""
5088156273040704299,1500,2007-07-17 15:25:00 +0100,BBC One,Dennis the Menace,"CBBC. Dennis and the Beanstalk: Gnasher is confined to bed, so Dennis creates his own Beanstalk fairy tale. [S]",crid://fp.bbc.co.uk/KCI8MR,crid://fp.bbc.co.uk/4C9CPG
5088161427005654100,2700,2007-07-17 15:45:00 +0100,BBC Two,Flog It!,Antique experts David Barby and Adam Partridge search for bargains at Bedford's Corn Exchange. Paul Martin discovers the impressive Shuttleworth Collection of antique planes. [S],crid://fp.bbc.co.uk/KCI58J,crid://fp.bbc.co.uk/5416L3
